app_id,count,AppID,Name
10,388,10,Counter-Strike
240,894,240,Counter-Strike: Source
280,333,280,Half-Life: Source
340,373,340,Half-Life 2: Lost Coast
440,1483,440,Team Fortress 2
550,3797,550,Left 4 Dead 2
570,10610,570,Dota 2
620,476,620,Portal 2
1250,847,1250,Killing Floor
2400,386,2400,The Ship: Murder Party
2870,2250,2870,X Rebirth
6550,374,6550,Devil May Cry® 3 Special Edition
7510,402,7510,X-Blades
7670,553,7670,BioShock™
7940,308,7940,Call of Duty® 4: Modern Warfare®
8190,892,8190,Just Cause 2
8500,620,8500,EVE Online
8850,449,8850,BioShock® 2
8870,1822,8870,BioShock Infinite
8980,550,8980,Borderlands Game of the Year
9200,984,9200,RAGE
9480,952,9480,Saints Row 2
10090,634,10090,Call of Duty: World at War
10180,1083,10180,Call of Duty®: Modern Warfare® 2 (2009)
10220,376,10220,Postal III
10680,448,10680,Aliens vs. Predator™
11390,344,11390,Crash Time 2
12120,1082,12120,Grand Theft Auto: San Andreas
12200,523,12200,Bully: Scholarship Edition
12210,5978,12210,Grand Theft Auto IV: The Complete Edition
12220,656,12220,Grand Theft Auto: Episodes from Liberty City
13140,343,13140,America's Army 3
15100,378,15100,Assassin's Creed™: Director's Cut Edition
16720,328,16720,Velvet Assassin
16730,459,16730,Legendary
17080,840,17080,Tribes: Ascend
17300,388,17300,Crysis
17410,896,17410,Mirror's Edge™
17470,449,17470,Dead Space
19680,497,19680,Alice: Madness Returns
19900,536,19900,Far Cry® 2
20500,307,20500,Red Faction Guerrilla Steam Edition
20900,1274,20900,The Witcher: Enhanced Edition Director's Cut
21100,805,21100,F.E.A.R. 3
22350,704,22350,BRINK
22380,1438,22380,Fallout: New Vegas
24200,948,24200,DC Universe™ Online
24240,772,24240,PAYDAY™ The Heist
24960,719,24960,Battlefield: Bad Company™ 2
28000,475,28000,Kane & Lynch 2: Dog Days
32430,647,32430,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition
32500,621,32500,STAR WARS™: The Force Unleashed™ II
33230,895,33230,Assassin's Creed 2
33930,579,33930,Arma 2: Operation Arrowhead
34010,352,34010,Alpha Protocol™
34830,456,34830,Sniper: Ghost Warrior
34870,536,34870,Sniper: Ghost Warrior 2
35450,706,35450,Red Orchestra 2: Heroes of Stalingrad with Rising Storm
39160,328,39160,Dungeon Siege III
41070,463,41070,Serious Sam 3: BFE
42680,1060,42680,Call of Duty®: Modern Warfare® 3
42700,709,42700,Call of Duty®: Black Ops
42910,576,42910,Magicka
45740,362,45740,Dead Rising® 2
45760,603,45760,Ultra Street Fighter® IV
47790,581,47790,Medal of Honor™
48000,566,48000,LIMBO
48190,327,48190,Assassin’s Creed® Brotherhood
48700,695,48700,Mount & Blade: Warband
48720,362,48720,Mount & Blade: With Fire & Sword
49520,1757,49520,Borderlands 2
49540,1662,49540,Aliens: Colonial Marines Collection
50130,602,50130,Mafia II (Classic)
